都道府県コード,都道府県庁所在市名,値(円/年),調査年,出典
01,01100 札幌市,152390,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
02,02201 青森市,109168,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
03,03201 盛岡市,157268,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
04,04100 仙台市,188718,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
05,05201 秋田市,130313,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
06,06201 山形市,185760,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
07,07201 福島市,142699,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
08,08201 水戸市,169574,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
09,09201 宇都宮市,190874,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
10,10201 前橋市,183330,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
11,11100 さいたま市,243122,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
12,12100 千葉市,229745,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
13,13100 東京都区部,270440,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
14,14100 横浜市,239291,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
15,15100 新潟市,141110,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
16,16201 富山市,201275,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
17,17201 金沢市,171174,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
18,18201 福井市,168532,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
19,19201 甲府市,175937,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
20,20201 長野市,184641,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
21,21201 岐阜市,201662,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
22,22100 静岡市,197984,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
23,23100 名古屋市,226318,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
24,24201 津市,178640,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
25,25201 大津市,215852,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
26,26100 京都市,203051,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
27,27100 大阪市,186254,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
28,28100 神戸市,177995,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
29,29201 奈良市,209048,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
30,30201 和歌山市,155237,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
31,31201 鳥取市,176608,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
32,32201 松江市,141564,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
33,33100 岡山市,192553,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
34,34100 広島市,166778,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
35,35203 山口市,155444,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
36,36201 徳島市,165292,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
37,37201 高松市,181009,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
38,38201 松山市,127885,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
39,39201 高知市,188592,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
40,40130 福岡市,192699,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
41,41201 佐賀市,177638,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
42,42201 長崎市,137291,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
43,43100 熊本市,228007,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
44,44201 大分市,184400,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
45,45201 宮崎市,151805,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
46,46201 鹿児島市,165634,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
47,47201 那覇市,147207,2024,家計調査 外食(県庁所在市・e-Stat 0003348239)
